AgencyName,ArrestYear,ArrestDescription,AdultOrJuvenile,Category,County,months_submitted,refreshdate,ArrestCount
Albany PD,2018,Aggravated Assault,Adult,Violent Crimes,Green,12,4/29/2020,2
Albany PD,2018,Aggravated Assault,Juvenile,Violent Crimes,Green,12,4/29/2020,0
Albany PD,2018,Aggravated Assault,Total,Violent Crimes,Green,12,4/29/2020,2
Albany PD,2018,All Other Offenses,Adult,Other Crimes,Green,12,4/29/2020,18
Albany PD,2018,All Other Offenses,Juvenile,Other Crimes,Green,12,4/29/2020,13
Albany PD,2018,All Other Offenses,Total,Other Crimes,Green,12,4/29/2020,31
Albany PD,2018,Arson,Adult,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Arson,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Arson,Total,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Burglary,Adult,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Burglary,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Burglary,Total,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Curfew/Loitering Violations,Adult,Society Crimes,Green,12,4/29/2020,0
Albany PD,2018,Curfew/Loitering Violations,Juvenile,Society Crimes,Green,12,4/29/2020,0
Albany PD,2018,Curfew/Loitering Violations,Total,Society Crimes,Green,12,4/29/2020,0
Albany PD,2018,Disorderly Conduct,Adult,Society Crimes,Green,12,4/29/2020,8
Albany PD,2018,Disorderly Conduct,Juvenile,Society Crimes,Green,12,4/29/2020,7
Albany PD,2018,Disorderly Conduct,Total,Society Crimes,Green,12,4/29/2020,15
Albany PD,2018,Driving Under the Influence,Adult,Society Crimes,Green,12,4/29/2020,10
Albany PD,2018,Driving Under the Influence,Juvenile,Society Crimes,Green,12,4/29/2020,0
Albany PD,2018,Driving Under the Influence,Total,Society Crimes,Green,12,4/29/2020,10
Albany PD,2018,Drug - Unknown,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug - Unknown,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug - Unknown,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Possession - Marijuana,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Possession - Marijuana,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Possession - Marijuana,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Possession - Opium/Cocaine,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Possession - Opium/Cocaine,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Possession - Opium/Cocaine,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Possession - Other Dangerous,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Possession - Other Dangerous,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Possession - Other Dangerous,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Possession - Synthetic,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Possession - Synthetic,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Possession - Synthetic,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Sale - Marijuana,Adult,Drug Crimes,Green,12,4/29/2020,1
