AgencyName,ArrestYear,ArrestDescription,AdultOrJuvenile,Category,County,months_submitted,refreshdate,ArrestCount
Adams PD,2016,Simple Assault,Total,Other Crimes,Adams,12,4/29/2020,14
Adams PD,2016,Stolen Property,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Stolen Property,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Stolen Property,Total,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Vagrancy Violations,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Vagrancy Violations,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Vagrancy Violations,Total,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Vandalism,Adult,Property Crimes,Adams,12,4/29/2020,6
Adams PD,2016,Vandalism,Juvenile,Property Crimes,Adams,12,4/29/2020,2
Adams PD,2016,Vandalism,Total,Property Crimes,Adams,12,4/29/2020,8
Adams PD,2016,Weapons,Adult,Society Crimes,Adams,12,4/29/2020,3
Adams PD,2016,Weapons,Juvenile,Society Crimes,Adams,12,4/29/2020,1
Adams PD,2016,Weapons,Total,Society Crimes,Adams,12,4/29/2020,4
Albany PD,2016, ,Adult,Grand total,Green,12,4/29/2020,84
Albany PD,2016, ,Juvenile,Grand total,Green,12,4/29/2020,6
Albany PD,2016, ,Total,Grand total,Green,12,4/29/2020,90
Albany PD,2016,Aggravated Assault,Adult,Violent Crimes,Green,12,4/29/2020,3
Albany PD,2016,Aggravated Assault,Juvenile,Violent Crimes,Green,12,4/29/2020,0
Albany PD,2016,Aggravated Assault,Total,Violent Crimes,Green,12,4/29/2020,3
Albany PD,2016,All Other Offenses,Adult,Other Crimes,Green,12,4/29/2020,8
Albany PD,2016,All Other Offenses,Juvenile,Other Crimes,Green,12,4/29/2020,0
Albany PD,2016,All Other Offenses,Total,Other Crimes,Green,12,4/29/2020,8
Albany PD,2016,Arson,Adult,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Arson,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Arson,Total,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Burglary,Adult,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Burglary,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Burglary,Total,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Curfew/Loitering Violations,Adult,Society Crimes,Green,12,4/29/2020,0
Albany PD,2016,Curfew/Loitering Violations,Juvenile,Society Crimes,Green,12,4/29/2020,1
Albany PD,2016,Curfew/Loitering Violations,Total,Society Crimes,Green,12,4/29/2020,1
Albany PD,2016,Disorderly Conduct,Adult,Society Crimes,Green,12,4/29/2020,28
Albany PD,2016,Disorderly Conduct,Juvenile,Society Crimes,Green,12,4/29/2020,3
Albany PD,2016,Disorderly Conduct,Total,Society Crimes,Green,12,4/29/2020,31
Albany PD,2016,Driving Under the Influence,Adult,Society Crimes,Green,12,4/29/2020,13
Albany PD,2016,Driving Under the Influence,Juvenile,Society Crimes,Green,12,4/29/2020,0
Albany PD,2016,Driving Under the Influence,Total,Society Crimes,Green,12,4/29/2020,13
Albany PD,2016,Drug - Unknown,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug - Unknown,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug - Unknown,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Possession - Marijuana,Adult,Drug Crimes,Green,12,4/29/2020,4
Albany PD,2016,Drug Possession - Marijuana,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Possession - Marijuana,Total,Drug Crimes,Green,12,4/29/2020,4
Albany PD,2016,Drug Possession - Opium/Cocaine,Adult,Drug Crimes,Green,12,4/29/2020,2
Albany PD,2016,Drug Possession - Opium/Cocaine,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Possession - Opium/Cocaine,Total,Drug Crimes,Green,12,4/29/2020,2
Albany PD,2016,Drug Possession - Other Dangerous,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Possession - Other Dangerous,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Possession - Other Dangerous,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Possession - Synthetic,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Possession - Synthetic,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Possession - Synthetic,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Sale - Marijuana,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Sale - Marijuana,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Sale - Marijuana,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Sale - Opium/Cocaine,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Sale - Opium/Cocaine,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Sale - Opium/Cocaine,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Sale - Other Dangerous,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Sale - Other Dangerous,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Sale - Other Dangerous,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Sale - Synthetic,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Sale - Synthetic,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Drug Sale - Synthetic,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2016,Embezzlement,Adult,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Embezzlement,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Embezzlement,Total,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Forgery & Counterfeiting,Adult,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Forgery & Counterfeiting,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Forgery & Counterfeiting,Total,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Fraud,Adult,Property Crimes,Green,12,4/29/2020,1
Albany PD,2016,Fraud,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Fraud,Total,Property Crimes,Green,12,4/29/2020,1
Albany PD,2016,Gambling,Adult,Society Crimes,Green,12,4/29/2020,0
Albany PD,2016,Gambling,Juvenile,Society Crimes,Green,12,4/29/2020,0
Albany PD,2016,Gambling,Total,Society Crimes,Green,12,4/29/2020,0
Albany PD,2016,Larceny Theft,Adult,Property Crimes,Green,12,4/29/2020,3
Albany PD,2016,Larceny Theft,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Larceny Theft,Total,Property Crimes,Green,12,4/29/2020,3
Albany PD,2016,Liquor Laws,Adult,Society Crimes,Green,12,4/29/2020,21
Albany PD,2016,Liquor Laws,Juvenile,Society Crimes,Green,12,4/29/2020,2
Albany PD,2016,Liquor Laws,Total,Society Crimes,Green,12,4/29/2020,23
Albany PD,2016,Manslaughter by Negligence,Adult,Other Crimes,Green,12,4/29/2020,0
Albany PD,2016,Manslaughter by Negligence,Juvenile,Other Crimes,Green,12,4/29/2020,0
Albany PD,2016,Manslaughter by Negligence,Total,Other Crimes,Green,12,4/29/2020,0
Albany PD,2016,Motor Vehicle Theft,Adult,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Motor Vehicle Theft,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Motor Vehicle Theft,Total,Property Crimes,Green,12,4/29/2020,0
Albany PD,2016,Murder & Nonnegligent Manslaughter,Adult,Violent Crimes,Green,12,4/29/2020,0
Albany PD,2016,Murder & Nonnegligent Manslaughter,Juvenile,Violent Crimes,Green,12,4/29/2020,0
Albany PD,2016,Murder & Nonnegligent Manslaughter,Total,Violent Crimes,Green,12,4/29/2020,0
Albany PD,2016,Offenses Against Family and Children,Adult,Other Crimes,Green,12,4/29/2020,0
